,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value,dim_shown,expected_dim
110,338,w605fd50,Blue,0.0,1971.0,0,4,9,choice,Before,Green,2,3,-2.0,4,4,1,2,-1.0,Green,False
111,339,w605fd50,Food,1.0,6811.0,1,5,9,choice,Before,Green,1,2,-1.0,4,4,1,2,-1.0,Green,False
112,340,w605fd50,Animal,0.0,2170.0,0,6,9,choice,Before,Green,2,1,1.0,4,4,2,2,1.0,Green,False
113,349,wb772565,Blue,0.0,2992.0,1,1,9,choice,Before,Blue,2,-3,1.0,3,3,1,1,-1.0,Blue,True
114,350,wb772565,Green,1.0,1433.0,1,2,9,choice,Before,Blue,1,2,2.0,3,3,1,1,2.0,Blue,False
115,351,wb772565,Animal,0.0,2338.0,0,3,9,choice,Before,Blue,3,1,3.0,3,3,2,2,1.0,Blue,False
116,352,wb772565,Red,0.0,2033.0,0,4,9,choice,Before,Blue,3,1,-2.0,3,3,1,1,-1.0,Blue,False
117,353,wb772565,Object,0.0,3303.0,0,5,9,choice,Before,Blue,2,1,-3.0,3,3,1,2,-1.0,Blue,False
118,363,w3fdf5b1,Animal,1.0,4755.0,1,1,9,choice,After,Animal,2,1,1.0,6,6,2,2,1.0,None,False
119,364,w3fdf5b1,Yellow,1.0,2752.0,1,2,9,choice,After,Animal,1,1,2.0,6,6,1,1,2.0,None,False
120,365,w3fdf5b1,Blue,0.0,2664.0,0,3,9,choice,After,Animal,2,1,0.0,6,6,2,2,0.0,None,False
121,366,w3fdf5b1,Green,0.0,3623.0,1,4,9,choice,After,Animal,3,-2,-2.0,6,6,3,3,-2.0,None,False
122,367,w3fdf5b1,Object,1.0,2986.0,1,5,9,choice,After,Animal,1,1,1.0,6,6,1,1,1.0,None,False
123,368,w3fdf5b1,Scene,1.0,5283.0,0,6,9,choice,After,Animal,3,-2,-2.0,6,6,3,3,-2.0,None,False
124,377,w11538ef,Object,0.0,2483.0,1,1,9,choice,Before,Object,1,-1,-2.0,4,4,1,1,-2.0,Object,True
125,378,w11538ef,Food,0.0,3265.0,1,2,9,choice,Before,Object,3,-2,1.0,4,4,2,3,0.0,Object,False
126,379,w11538ef,Green,1.0,2593.0,0,3,9,choice,Before,Object,3,-1,-2.0,4,4,2,2,-1.0,Object,False
127,380,w11538ef,Scene,1.0,3819.0,1,4,9,choice,Before,Object,2,4,-2.0,4,4,1,1,-1.0,Object,False
128,382,w11538ef,Red,0.0,4931.0,0,6,9,choice,Before,Object,2,1,-2.0,4,4,2,3,-2.0,Object,False
129,390,wdab535b,Food,0.0,3995.0,0,1,9,choice,Before,Food,2,1,-3.0,2,2,1,1,-1.0,Food,True
130,392,wdab535b,Blue,1.0,3769.0,0,3,9,choice,Before,Food,1,-2,1.0,2,2,1,1,1.0,Food,False
131,393,wdab535b,Scene,0.0,1004.0,1,4,9,choice,Before,Food,3,-1,2.0,2,2,1,1,1.0,Food,False
132,395,wdab535b,Green,0.0,602.0,1,6,9,choice,Before,Food,2,-2,1.0,2,2,1,1,-1.0,Food,False
