,index,wid,option,choice,rt,correct,trial_number,game,phase,multi_time,multi_dim,dim_shown,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
101,167,w311c43d,Red,1.0,1948.0,1,1,6,choice,Before,Color,Color,2,3,3.0,5,5,1,1,4.0
102,168,w311c43d,Green,1.0,2957.0,0,2,6,choice,Before,Color,Color,3,-3,-3.0,5,5,2,2,-1.0
103,169,w311c43d,Yellow,0.0,2312.0,1,3,6,choice,Before,Color,Color,1,-2,-2.0,5,5,1,1,-2.0
104,172,w311c43d,Scene,0.0,600.0,0,3,7,choice,After,Category,Category,3,1,2.0,1,1,1,1,-2.0
105,179,wee338ab,Blue,1.0,2709.0,0,1,2,choice,Before,Color,Color,3,-2,-2.0,4,4,1,1,-2.0
106,180,wee338ab,Green,1.0,1476.0,0,2,2,choice,Before,Color,Color,1,-2,-2.0,4,4,1,2,-2.0
107,181,wee338ab,Yellow,1.0,2556.0,1,3,2,choice,Before,Color,Color,2,3,-3.0,4,4,2,3,-3.0
108,182,wee338ab,Blue,1.0,4510.0,1,1,3,choice,After,Color,Color,1,1,-1.0,5,5,1,1,-1.0
109,183,wee338ab,Red,1.0,2189.0,0,2,3,choice,After,Color,Color,2,-1,3.0,5,5,2,2,3.0
110,184,wee338ab,Green,1.0,2114.0,0,3,3,choice,After,Color,Color,3,-2,0.0,5,5,2,3,-2.0
111,185,wee338ab,Animal,1.0,4375.0,1,1,4,choice,Before,Category,Category,3,1,-3.0,4,4,1,1,-1.0
112,186,wee338ab,Scene,0.0,1564.0,1,2,4,choice,Before,Category,Category,2,-3,0.0,4,4,2,2,0.0
113,187,wee338ab,Object,0.0,4101.0,0,3,4,choice,Before,Category,Category,1,1,-2.0,4,4,1,1,-2.0
114,188,wee338ab,Animal,1.0,2451.0,0,1,5,choice,After,Category,Category,2,-1,1.0,4,4,1,2,2.0
115,189,wee338ab,Food,0.0,3697.0,0,2,5,choice,After,Category,Category,1,1,2.0,4,4,1,1,2.0
116,190,wee338ab,Object,0.0,3044.0,1,3,5,choice,After,Category,Category,3,-2,3.0,4,4,2,2,1.0
117,191,wee338ab,Object,1.0,3671.0,0,1,6,choice,Before,Category,Category,1,-1,-1.0,5,5,1,1,-1.0
118,192,wee338ab,Food,1.0,924.0,1,2,6,choice,Before,Category,Category,2,1,1.0,5,5,2,2,1.0
119,193,wee338ab,Scene,0.0,824.0,0,3,6,choice,Before,Category,Category,3,1,-3.0,5,5,2,2,-2.0
120,194,wee338ab,Blue,,,0,1,7,choice,After,Color,Color,2,-3,4.0,4,4,1,2,2.0
121,196,wee338ab,Green,0.0,3537.0,0,3,7,choice,After,Color,Color,3,3,-1.0,4,4,3,3,-1.0
122,204,wdd486da,Object,1.0,1995.0,1,2,1,choice,After,Category,Category,3,3,0.0,3,3,2,3,-2.0
123,205,wdd486da,Food,0.0,2682.0,0,3,1,choice,After,Category,Category,1,1,-1.0,3,3,1,2,-1.0
124,206,wdd486da,Object,1.0,1853.0,0,1,2,choice,Before,Category,Category,2,-3,-3.0,3,3,2,3,-3.0
125,208,wdd486da,Food,0.0,1241.0,1,3,2,choice,Before,Category,Category,1,-2,-2.0,3,3,1,1,-2.0
126,210,wdd486da,Yellow,0.0,1270.0,1,2,3,choice,After,Color,Color,3,-1,-4.0,2,2,2,3,-3.0
127,212,wdd486da,Blue,1.0,1759.0,1,1,4,choice,Before,Color,Color,2,2,3.0,4,4,1,1,1.0
128,213,wdd486da,Yellow,0.0,1435.0,1,2,4,choice,Before,Color,Color,3,-1,-3.0,4,4,2,2,-2.0
129,214,wdd486da,Red,0.0,1003.0,1,3,4,choice,Before,Color,Color,1,-2,2.0,4,4,1,2,2.0
130,216,wdd486da,Yellow,0.0,1793.0,1,2,5,choice,After,Color,Color,2,-1,-3.0,3,3,2,3,-3.0
131,217,wdd486da,Green,1.0,2040.0,0,3,5,choice,After,Color,Color,3,-2,1.0,3,3,1,1,2.0
132,218,wdd486da,Green,0.0,1133.0,0,1,6,choice,Before,Color,Color,3,1,0.0,3,3,1,1,2.0
133,219,wdd486da,Red,0.0,852.0,1,2,6,choice,Before,Color,Color,2,-2,-3.0,3,3,1,2,-2.0
134,220,wdd486da,Yellow,0.0,1020.0,0,3,6,choice,Before,Color,Color,1,2,-1.0,3,3,1,2,-1.0
135,221,wdd486da,Animal,0.0,1537.0,1,1,7,choice,After,Category,Category,1,-1,1.0,4,4,1,3,1.0
136,222,wdd486da,Scene,1.0,1051.0,1,2,7,choice,After,Category,Category,3,2,0.0,4,4,2,2,1.0
137,223,wdd486da,Object,1.0,970.0,0,3,7,choice,After,Category,Category,2,-1,-1.0,4,4,1,1,-2.0
138,231,wbe2faf8,Object,0.0,3062.0,1,2,1,choice,After,Category,Category,3,-1,-1.0,3,3,2,2,1.0
139,232,wbe2faf8,Food,1.0,2104.0,0,3,1,choice,After,Category,Category,1,-2,1.0,3,3,1,2,1.0
140,233,wbe2faf8,Green,1.0,1767.0,1,1,2,choice,Before,Color,Color,1,1,1.0,6,6,1,1,1.0
141,234,wbe2faf8,Yellow,1.0,4650.0,0,2,2,choice,Before,Color,Color,2,-4,-2.0,6,6,2,2,-2.0
142,235,wbe2faf8,Blue,0.0,2167.0,0,3,2,choice,Before,Color,Color,3,1,1.0,6,6,3,3,1.0
143,236,wbe2faf8,Animal,1.0,3319.0,1,1,3,choice,After,Category,Category,1,2,2.0,4,4,1,1,2.0
144,237,wbe2faf8,Food,1.0,4241.0,1,2,3,choice,After,Category,Category,3,2,5.0,4,4,1,1,2.0
145,238,wbe2faf8,Scene,0.0,706.0,1,3,3,choice,After,Category,Category,2,-2,-2.0,4,4,2,4,-2.0
146,239,wbe2faf8,Yellow,0.0,2409.0,1,1,4,choice,Before,Color,Color,3,-1,-5.0,5,5,2,2,-3.0
147,240,wbe2faf8,Blue,0.0,1062.0,1,2,4,choice,Before,Color,Color,2,-1,-3.0,5,5,2,2,-3.0
148,241,wbe2faf8,Red,1.0,2043.0,1,3,4,choice,Before,Color,Color,1,2,2.0,5,5,1,2,2.0
149,242,wbe2faf8,Food,1.0,3363.0,1,1,5,choice,After,Category,Category,1,1,-2.0,5,5,1,2,-2.0
150,243,wbe2faf8,Animal,0.0,1195.0,1,2,5,choice,After,Category,Category,2,-1,1.0,5,5,1,1,2.0
151,244,wbe2faf8,Object,0.0,2104.0,1,3,5,choice,After,Category,Category,3,-3,-1.0,5,5,3,3,-1.0
152,246,wbe2faf8,Blue,0.0,1026.0,0,2,6,choice,Before,Color,Color,2,1,-3.0,5,5,2,2,-3.0
153,247,wbe2faf8,Red,1.0,638.0,1,3,6,choice,Before,Color,Color,3,2,2.0,5,5,3,3,2.0
154,248,wbe2faf8,Animal,1.0,1336.0,1,1,7,choice,After,Category,Category,2,3,3.0,6,6,2,2,3.0
155,249,wbe2faf8,Scene,0.0,1177.0,1,2,7,choice,After,Category,Category,1,-2,-1.0,6,6,1,1,-1.0
156,250,wbe2faf8,Object,0.0,545.0,1,3,7,choice,After,Category,Category,3,-3,-5.0,6,6,3,3,-5.0
157,258,w6870249,Food,1.0,3752.0,0,2,1,choice,Before,Category,Category,3,-3,1.0,3,3,2,2,0.0
158,259,w6870249,Object,0.0,3190.0,0,3,1,choice,Before,Category,Category,2,2,0.0,3,3,1,1,-1.0
159,260,w6870249,Green,0.0,1893.0,1,1,2,choice,After,Color,Color,2,-4,0.0,3,3,1,1,2.0
160,261,w6870249,Yellow,1.0,1359.0,1,2,2,choice,After,Color,Color,3,2,-1.0,3,3,1,1,-1.0
161,262,w6870249,Blue,1.0,1204.0,1,3,2,choice,After,Color,Color,1,1,-1.0,3,3,1,2,-1.0
162,263,w6870249,Animal,,,0,1,3,choice,Before,Category,Category,2,-2,-3.0,5,5,1,1,-1.0
163,264,w6870249,Object,0.0,186.0,0,2,3,choice,Before,Category,Category,3,2,5.0,5,5,3,3,5.0
164,265,w6870249,Scene,1.0,693.0,1,3,3,choice,Before,Category,Category,1,2,2.0,5,5,1,1,2.0
165,266,w6870249,Food,1.0,3096.0,0,1,4,choice,After,Category,Category,1,-2,-2.0,4,4,1,1,-2.0
166,267,w6870249,Object,1.0,1492.0,1,2,4,choice,After,Category,Category,3,1,1.0,4,4,2,2,-1.0
167,268,w6870249,Animal,1.0,2014.0,1,3,4,choice,After,Category,Category,2,1,1.0,4,4,1,2,-1.0
168,269,w6870249,Blue,0.0,2464.0,1,1,5,choice,Before,Color,Color,2,-1,-2.0,3,3,1,1,-1.0
169,270,w6870249,Green,1.0,1361.0,1,2,5,choice,Before,Color,Color,3,2,2.0,3,3,1,1,2.0
170,271,w6870249,Yellow,1.0,799.0,0,3,5,choice,Before,Color,Color,1,-1,-1.0,3,3,1,2,-1.0
171,273,w6870249,Blue,0.0,1277.0,0,2,6,choice,After,Color,Color,1,2,-2.0,3,3,1,1,-2.0
172,274,w6870249,Red,1.0,520.0,1,3,6,choice,After,Color,Color,3,2,2.0,3,3,2,2,3.0
173,275,w6870249,Red,1.0,997.0,1,1,7,choice,Before,Color,Color,1,2,1.0,5,5,1,2,1.0
174,276,w6870249,Yellow,0.0,872.0,1,2,7,choice,Before,Color,Color,3,-5,-6.0,5,5,3,3,-6.0
175,277,w6870249,Green,1.0,531.0,1,3,7,choice,Before,Color,Color,2,3,4.0,5,5,1,1,2.0
176,284,w960c4a6,Scene,1.0,5934.0,0,1,1,choice,After,Category,Category,1,-2,-1.0,5,5,1,1,-1.0
177,285,w960c4a6,Food,0.0,1540.0,0,2,1,choice,After,Category,Category,3,3,-2.0,5,5,2,2,-3.0
178,286,w960c4a6,Object,1.0,4295.0,1,3,1,choice,After,Category,Category,2,1,1.0,5,5,2,2,1.0
179,287,w960c4a6,Green,0.0,1735.0,1,1,2,choice,Before,Color,Color,2,-3,-3.0,6,6,2,2,-3.0
180,288,w960c4a6,Yellow,1.0,1121.0,1,2,2,choice,Before,Color,Color,3,1,1.0,6,6,3,3,1.0
181,289,w960c4a6,Blue,1.0,1126.0,1,3,2,choice,Before,Color,Color,1,1,1.0,6,6,1,1,1.0
182,290,w960c4a6,Scene,1.0,3294.0,1,1,3,choice,After,Category,Category,1,2,2.0,5,5,1,2,2.0
183,291,w960c4a6,Animal,0.0,2677.0,1,2,3,choice,After,Category,Category,2,-3,-3.0,5,5,2,2,-3.0
184,292,w960c4a6,Object,1.0,1189.0,1,3,3,choice,After,Category,Category,3,2,2.0,5,5,2,2,3.0
185,293,w960c4a6,Yellow,0.0,2232.0,1,1,4,choice,Before,Color,Color,2,-1,0.0,4,4,1,1,1.0
186,294,w960c4a6,Blue,0.0,1291.0,1,2,4,choice,Before,Color,Color,3,-2,-2.0,4,4,2,3,-3.0
187,295,w960c4a6,Red,1.0,969.0,1,3,4,choice,Before,Color,Color,1,2,1.0,4,4,1,2,1.0
188,296,w960c4a6,Yellow,0.0,3490.0,1,1,5,choice,After,Color,Color,1,-1,1.0,5,5,1,1,1.0
189,297,w960c4a6,Green,0.0,1413.0,1,2,5,choice,After,Color,Color,3,-1,-1.0,5,5,3,3,-1.0
190,298,w960c4a6,Blue,1.0,4530.0,1,3,5,choice,After,Color,Color,2,4,0.0,5,5,1,1,1.0
191,299,w960c4a6,Scene,1.0,4744.0,1,1,6,choice,Before,Category,Category,1,1,1.0,5,5,1,1,1.0
192,300,w960c4a6,Animal,0.0,1925.0,0,2,6,choice,Before,Category,Category,2,1,1.0,5,5,1,1,-1.0
193,301,w960c4a6,Food,0.0,1863.0,1,3,6,choice,Before,Category,Category,3,-2,2.0,5,5,3,3,2.0
194,302,w960c4a6,Scene,1.0,2064.0,1,1,7,choice,After,Category,Category,3,3,2.0,4,4,2,2,3.0
195,303,w960c4a6,Food,0.0,3190.0,1,2,7,choice,After,Category,Category,2,-1,-3.0,4,4,1,2,-1.0
196,304,w960c4a6,Object,0.0,3018.0,1,3,7,choice,After,Category,Category,1,-2,-1.0,4,4,1,1,-1.0
197,312,we39fc55,Green,0.0,2026.0,0,2,1,choice,After,Color,Color,1,1,1.0,3,3,1,1,1.0
198,313,we39fc55,Blue,1.0,979.0,0,3,1,choice,After,Color,Color,2,-3,0.0,3,3,2,3,0.0
199,314,we39fc55,Scene,1.0,4727.0,0,1,2,choice,Before,Category,Category,1,-2,1.0,3,3,1,3,1.0
200,315,we39fc55,Object,0.0,4963.0,0,2,2,choice,Before,Category,Category,2,1,1.0,3,3,1,1,-1.0
201,316,we39fc55,Food,1.0,1852.0,1,3,2,choice,Before,Category,Category,3,3,5.0,3,3,1,1,1.0
202,317,we39fc55,Yellow,0.0,3910.0,1,1,3,choice,After,Color,Color,2,-4,0.0,4,4,1,1,-2.0
203,318,we39fc55,Red,0.0,2529.0,0,2,3,choice,After,Color,Color,3,3,-5.0,4,4,2,3,-3.0
204,319,we39fc55,Blue,1.0,1113.0,1,3,3,choice,After,Color,Color,1,2,2.0,4,4,1,1,2.0
205,320,we39fc55,Animal,0.0,4132.0,1,1,4,choice,Before,Category,Category,1,-2,-2.0,6,6,1,1,-2.0
206,321,we39fc55,Object,0.0,1753.0,1,2,4,choice,Before,Category,Category,2,-3,1.0,6,6,2,2,1.0
207,322,we39fc55,Food,0.0,2610.0,0,3,4,choice,Before,Category,Category,3,5,-1.0,6,6,3,3,-1.0
208,323,we39fc55,Animal,1.0,2560.0,0,1,5,choice,After,Category,Category,3,-3,1.0,3,3,1,1,2.0
