,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,n_considered,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered
156,186,w60e592a,Green,1.0,1675.0,1,1,4,choice,3,4,2,6.0,3,3,2,2
157,187,w60e592a,Animal,0.0,1549.0,0,2,4,choice,1,4,4,5.0,3,3,1,2
158,188,w60e592a,Scene,1.0,1269.0,1,3,4,choice,2,4,2,2.0,3,3,1,2
159,189,w60e592a,Blue,0.0,1818.0,1,4,4,choice,1,4,-6,-7.0,3,3,1,1
160,190,w60e592a,Red,0.0,1180.0,0,5,4,choice,2,4,6,2.0,3,3,0,2
161,191,w60e592a,Food,0.0,2983.0,1,6,4,choice,3,4,-4,-6.0,3,3,1,1
162,192,w60e592a,Scene,0.0,2183.0,1,1,5,choice,1,4,-3,-3.0,4,4,1,2
163,193,w60e592a,Blue,1.0,1828.0,0,2,5,choice,3,4,-1,6.0,4,4,1,1
164,194,w60e592a,Green,1.0,2136.0,1,3,5,choice,1,4,5,-3.0,4,4,1,3
165,195,w60e592a,Object,1.0,1605.0,1,4,5,choice,3,4,4,-1.0,4,4,2,2
166,196,w60e592a,Red,1.0,2166.0,1,5,5,choice,2,4,2,1.0,4,4,2,2
167,197,w60e592a,Animal,0.0,1965.0,0,6,5,choice,2,4,5,8.0,4,4,1,2
168,198,wef591ef,Object,,,0,1,1,choice,1,1,-8,-8.0,1,1,0,2
169,199,wef591ef,Blue,0.0,2124.0,1,2,1,choice,1,1,-7,-7.0,1,1,1,2
170,200,wef591ef,Scene,1.0,4066.0,1,3,1,choice,2,2,2,2.0,1,1,0,1
171,201,wef591ef,Animal,1.0,3943.0,1,4,1,choice,3,3,3,3.0,1,1,1,2
172,202,wef591ef,Green,0.0,2691.0,0,5,1,choice,2,2,3,3.0,1,1,0,0
173,203,wef591ef,Yellow,1.0,3041.0,1,6,1,choice,3,2,1,1.0,1,1,0,0
174,204,wef591ef,Animal,1.0,2933.0,1,1,2,choice,1,1,8,8.0,6,6,1,1
175,205,wef591ef,Scene,1.0,2790.0,1,2,2,choice,2,2,2,2.0,6,6,2,2
176,206,wef591ef,Green,1.0,3174.0,1,3,2,choice,1,1,7,7.0,6,6,1,1
177,207,wef591ef,Yellow,1.0,948.0,1,4,2,choice,2,2,3,3.0,6,6,2,2
178,208,wef591ef,Red,0.0,2049.0,1,5,2,choice,3,3,-1,-1.0,6,6,3,3
179,209,wef591ef,Food,1.0,2480.0,0,6,2,choice,3,3,-1,-1.0,6,6,3,3
180,210,wef591ef,Yellow,0.0,3614.0,1,1,3,choice,2,2,-6,-6.0,6,6,2,2
181,211,wef591ef,Animal,0.0,3304.0,1,2,3,choice,2,2,-2,-2.0,6,6,2,2
182,212,wef591ef,Food,1.0,5027.0,1,3,3,choice,3,3,1,1.0,6,6,3,3
183,213,wef591ef,Green,0.0,4169.0,1,4,3,choice,3,3,-3,-3.0,6,6,3,3
184,214,wef591ef,Blue,1.0,2017.0,1,5,3,choice,1,1,3,3.0,6,6,1,1
185,215,wef591ef,Object,0.0,3306.0,1,6,3,choice,1,1,-5,-5.0,6,6,1,1
186,216,wef591ef,Object,,,0,1,4,choice,3,3,1,1.0,6,6,3,3
187,217,wef591ef,Blue,0.0,3475.0,1,2,4,choice,3,3,-1,-1.0,6,6,3,3
188,218,wef591ef,Food,0.0,3203.0,1,3,4,choice,1,1,-5,-5.0,6,6,1,1
189,219,wef591ef,Yellow,1.0,1475.0,1,4,4,choice,1,1,4,4.0,6,6,1,1
190,220,wef591ef,Scene,1.0,2465.0,1,5,4,choice,2,2,1,0.0,6,6,2,2
191,221,wef591ef,Red,0.0,2275.0,1,6,4,choice,2,2,-6,-7.0,6,6,2,2
192,222,wef591ef,Animal,1.0,1915.0,1,1,5,choice,2,1,3,3.0,6,6,2,2
193,223,wef591ef,Object,1.0,4352.0,0,2,5,choice,3,3,-6,-6.0,6,6,3,3
194,224,wef591ef,Green,0.0,1728.0,1,3,5,choice,1,1,-7,-7.0,6,6,1,1
195,225,wef591ef,Food,1.0,3081.0,1,4,5,choice,1,1,4,4.0,6,6,1,1
196,226,wef591ef,Red,1.0,3499.0,1,5,5,choice,3,3,2,2.0,6,6,3,3
197,227,wef591ef,Blue,1.0,3089.0,1,6,5,choice,2,2,6,6.0,6,6,2,2
198,228,wb51887d,Green,0.0,2854.0,1,1,1,choice,1,1,-2,5.0,4,4,1,1
199,229,wb51887d,Scene,1.0,3343.0,1,2,1,choice,2,2,4,-3.0,4,4,1,1
200,230,wb51887d,Red,1.0,5695.0,1,3,1,choice,2,1,6,-5.0,4,4,1,1
201,231,wb51887d,Blue,1.0,1425.0,1,4,1,choice,3,2,3,5.0,4,4,2,2
202,232,wb51887d,Food,0.0,1431.0,0,5,1,choice,1,1,4,0.0,4,4,1,1
203,233,wb51887d,Animal,0.0,2029.0,1,6,1,choice,3,2,-1,8.0,4,4,2,2
204,234,wb51887d,Green,1.0,1257.0,0,1,3,choice,3,1,-1,-2.0,3,3,1,1
205,235,wb51887d,Scene,1.0,2755.0,1,2,3,choice,2,1,8,-14.0,3,3,1,2
206,236,wb51887d,Red,0.0,2954.0,0,3,3,choice,2,2,5,-9.0,3,3,2,2
207,237,wb51887d,Yellow,0.0,3920.0,0,4,3,choice,1,0,5,0.0,3,3,0,1
208,238,wb51887d,Object,1.0,1144.0,0,5,3,choice,1,1,-3,5.0,3,3,1,1
209,239,wb51887d,Food,,,0,6,3,choice,3,1,4,-2.0,3,3,1,1
210,240,wb51887d,Blue,1.0,2860.0,1,1,4,choice,3,2,2,8.0,4,4,2,2
211,241,wb51887d,Yellow,0.0,3285.0,1,2,4,choice,1,1,-6,0.0,4,4,1,1
212,242,wb51887d,Scene,1.0,1479.0,1,3,4,choice,1,1,3,0.0,4,4,1,1
213,243,wb51887d,Food,1.0,1682.0,0,4,4,choice,3,3,-3,8.0,4,4,3,3
214,244,wb51887d,Green,1.0,1586.0,0,5,4,choice,2,1,-1,0.0,4,4,1,1
215,245,wb51887d,Object,0.0,683.0,1,6,4,choice,2,0,-5,0.0,4,4,0,0
216,246,wb51887d,Green,0.0,4565.0,1,1,5,choice,2,1,-4,2.0,6,6,2,2
217,247,wb51887d,Yellow,1.0,3230.0,1,2,5,choice,3,3,1,2.0,6,6,3,3
218,248,wb51887d,Blue,0.0,2149.0,1,3,5,choice,1,1,-2,-2.0,6,6,1,1
219,249,wb51887d,Scene,1.0,3102.0,0,4,5,choice,2,1,-7,1.0,6,6,2,2
220,250,wb51887d,Animal,0.0,3689.0,1,5,5,choice,3,3,-1,1.0,6,6,3,3
221,251,wb51887d,Object,1.0,3434.0,1,6,5,choice,1,1,3,0.0,6,6,1,1
222,282,w58111ca,Blue,,,0,1,1,choice,1,2,3,5.0,5,5,1,1
223,283,w58111ca,Object,1.0,2046.0,0,2,1,choice,1,0,-4,8.0,5,5,1,1
224,284,w58111ca,Food,1.0,1721.0,1,3,1,choice,3,3,2,4.0,5,5,3,4
225,285,w58111ca,Red,1.0,2519.0,0,4,1,choice,2,2,-5,-14.0,5,5,1,1
226,286,w58111ca,Yellow,1.0,1934.0,0,5,1,choice,3,2,-3,9.0,5,5,3,3
227,287,w58111ca,Scene,0.0,3095.0,1,6,1,choice,2,1,-3,-12.0,5,5,1,1
228,288,w58111ca,Object,1.0,2678.0,0,1,2,choice,2,1,-5,-5.0,3,3,1,1
229,289,w58111ca,Green,1.0,1948.0,1,2,2,choice,3,1,1,11.0,3,3,1,1
230,290,w58111ca,Food,1.0,2994.0,0,3,2,choice,3,1,-3,2.0,3,3,2,3
231,291,w58111ca,Yellow,0.0,2182.0,1,4,2,choice,2,1,-1,-14.0,3,3,1,2
232,292,w58111ca,Animal,0.0,2173.0,0,5,2,choice,1,0,2,3.0,3,3,0,0
233,293,w58111ca,Blue,0.0,1230.0,1,6,2,choice,1,1,-6,3.0,3,3,1,2
234,294,w58111ca,Yellow,1.0,3699.0,1,1,3,choice,1,1,7,6.0,5,5,1,1
235,295,w58111ca,Blue,1.0,730.0,0,2,3,choice,3,3,-5,-3.0,5,5,3,3
236,296,w58111ca,Red,1.0,1833.0,0,3,3,choice,2,1,-1,-1.0,5,5,1,1
237,297,w58111ca,Scene,0.0,2249.0,1,4,3,choice,1,1,-6,-5.0,5,5,1,1
238,298,w58111ca,Object,0.0,3410.0,0,5,3,choice,2,2,5,5.0,5,5,2,2
239,299,w58111ca,Animal,1.0,1805.0,1,6,3,choice,3,2,2,2.0,5,5,2,3
240,300,w58111ca,Animal,1.0,2032.0,0,1,4,choice,2,1,-2,-3.0,3,3,1,3
241,301,w58111ca,Scene,0.0,269.0,1,2,4,choice,1,0,-9,-3.0,3,3,1,1
242,302,w58111ca,Green,0.0,5116.0,1,3,4,choice,1,1,-8,-5.0,3,3,1,2
243,303,w58111ca,Red,0.0,1374.0,0,4,4,choice,2,1,1,-1.0,3,3,0,1
244,304,w58111ca,Blue,1.0,952.0,1,5,4,choice,3,0,1,-9.0,3,3,2,2
245,305,w58111ca,Object,0.0,107.0,0,6,4,choice,3,1,5,-9.0,3,3,1,1
246,306,w58111ca,Scene,1.0,1932.0,1,1,5,choice,3,2,2,8.0,4,4,2,2
247,307,w58111ca,Red,1.0,2480.0,1,2,5,choice,2,2,5,4.0,4,4,2,2
248,308,w58111ca,Yellow,0.0,2046.0,1,3,5,choice,1,0,-9,-3.0,4,4,0,1
249,309,w58111ca,Green,1.0,1537.0,1,4,5,choice,3,2,1,8.0,4,4,2,3
250,310,w58111ca,Food,0.0,814.0,0,5,5,choice,2,1,1,1.0,4,4,2,3
251,311,w58111ca,Animal,1.0,974.0,0,6,5,choice,1,0,-6,0.0,4,4,0,0
252,312,wc9128ed,Scene,,,0,1,1,choice,1,1,5,5.0,3,3,1,2
253,313,wc9128ed,Object,1.0,3409.0,0,2,1,choice,3,2,-3,2.0,3,3,1,1
254,314,wc9128ed,Red,0.0,3704.0,1,3,1,choice,1,2,-4,3.0,3,3,1,3
255,315,wc9128ed,Green,1.0,2029.0,1,4,1,choice,2,2,6,4.0,3,3,1,1
256,316,wc9128ed,Animal,0.0,2819.0,0,5,1,choice,2,1,4,-2.0,3,3,1,1
257,317,wc9128ed,Yellow,1.0,3177.0,1,6,1,choice,3,2,4,-2.0,3,3,1,1
258,318,wc9128ed,Animal,0.0,2743.0,0,1,2,choice,3,2,2,3.0,3,3,2,3
259,319,wc9128ed,Blue,1.0,4356.0,1,2,2,choice,1,2,7,7.0,3,3,1,1
260,320,wc9128ed,Scene,1.0,4011.0,1,3,2,choice,2,2,3,12.0,3,3,1,1
261,321,wc9128ed,Red,1.0,2323.0,0,4,2,choice,2,1,-3,8.0,3,3,0,0
262,322,wc9128ed,Food,0.0,3798.0,1,5,2,choice,1,1,-2,-5.0,3,3,0,0
263,323,wc9128ed,Green,0.0,1593.0,1,6,2,choice,3,2,-1,-5.0,3,3,2,2
264,324,wc9128ed,Green,0.0,4678.0,1,1,3,choice,3,3,-1,-7.0,5,5,3,4
265,325,wc9128ed,Yellow,1.0,5016.0,1,2,3,choice,1,1,8,8.0,5,5,1,1
266,326,wc9128ed,Food,1.0,3464.0,0,3,3,choice,3,2,-3,-6.0,5,5,2,2
267,327,wc9128ed,Object,1.0,5670.0,1,4,3,choice,1,1,9,5.0,5,5,1,1
