,index,wid,option,choice,rt,correct,trial_number,game,phase,n_true_memories,value,remembered_value,n_total_memories_shown,n_total_memories,n_remembered_shown,n_remembered,recalled_mem_value
201,242,wb900a5f,Small,0.0,2399.0,1,3,2,choice,3,-2,4.0,3,3,1,1,1.0
202,243,wb900a5f,Object,1.0,3207.0,1,4,2,choice,4,1,0.0,3,3,2,3,1.0
203,244,wb900a5f,Object,1.0,1515.0,1,1,3,choice,4,3,2.0,3,3,2,3,1.0
204,245,wb900a5f,Large,0.0,2055.0,0,2,3,choice,2,1,4.0,3,3,1,4,2.0
205,246,wb900a5f,Solid,1.0,1161.0,1,3,3,choice,3,2,2.0,3,3,1,3,-1.0
206,248,wb900a5f,Sea,1.0,1337.0,0,1,4,choice,3,-1,1.0,2,2,1,3,-1.0
207,249,wb900a5f,Large,0.0,450.0,0,2,4,choice,2,4,-1.0,2,2,1,4,-2.0
208,250,wb900a5f,Pattern,1.0,635.0,1,3,4,choice,4,4,1.0,2,2,1,3,-2.0
209,252,wb900a5f,Pattern,1.0,1723.0,1,1,5,choice,4,2,1.0,5,5,3,4,0.0
210,253,wb900a5f,Object,0.0,727.0,0,2,5,choice,3,3,1.0,5,5,2,3,0.0
211,254,wb900a5f,Sea,0.0,975.0,1,3,5,choice,2,-2,1.0,5,5,2,3,1.0
212,255,wb900a5f,Large,1.0,501.0,1,4,5,choice,1,2,-1.0,5,5,1,2,-1.0
213,258,wb900a5f,Pattern,1.0,586.0,1,3,6,choice,4,2,-3.0,1,1,1,4,1.0
214,259,wb900a5f,Small,1.0,371.0,1,4,6,choice,2,1,0.0,1,1,1,4,1.0
215,261,wb900a5f,Animal,0.0,740.0,0,2,7,choice,3,2,-2.0,3,3,1,1,1.0
216,262,wb900a5f,Small,1.0,474.0,0,3,7,choice,4,-4,-4.0,3,3,1,2,1.0
217,263,wb900a5f,Solid,0.0,432.0,1,4,7,choice,2,-4,-1.0,3,3,1,1,1.0
218,264,w52f1872,Land,0.0,6213.0,0,1,1,choice,2,1,0.0,4,4,1,1,2.0
219,265,w52f1872,Small,0.0,6150.0,0,2,1,choice,1,2,-1.0,4,4,1,1,-1.0
220,266,w52f1872,Animal,1.0,3430.0,0,3,1,choice,3,-1,1.0,4,4,2,2,3.0
221,267,w52f1872,Solid,1.0,3163.0,1,4,1,choice,4,5,1.0,4,4,3,3,3.0
222,268,w52f1872,Pattern,0.0,1990.0,1,1,2,choice,1,-1,-1.0,6,6,1,1,-1.0
223,269,w52f1872,Land,0.0,1939.0,1,2,2,choice,2,-2,0.0,6,6,2,2,0.0
224,270,w52f1872,Object,1.0,4775.0,0,3,2,choice,4,-1,0.0,6,6,4,4,0.0
225,271,w52f1872,Small,1.0,2007.0,1,4,2,choice,3,2,2.0,6,6,3,3,2.0
226,272,w52f1872,Land,0.0,6409.0,0,1,3,choice,1,2,1.0,4,4,1,1,1.0
227,273,w52f1872,Solid,0.0,2376.0,1,2,3,choice,3,-2,-3.0,4,4,3,3,-3.0
228,274,w52f1872,Object,1.0,4385.0,0,3,3,choice,4,-3,-3.0,4,4,3,3,-2.0
229,275,w52f1872,Large,0.0,1129.0,1,4,3,choice,2,-3,-3.0,4,4,1,1,-2.0
230,276,w52f1872,Pattern,1.0,3137.0,1,1,4,choice,4,4,1.0,5,5,4,4,1.0
231,277,w52f1872,Sea,0.0,1988.0,1,2,4,choice,3,-1,-4.0,5,5,2,2,-2.0
232,278,w52f1872,Large,1.0,5153.0,1,3,4,choice,2,1,1.0,5,5,2,2,1.0
233,279,w52f1872,Animal,0.0,1791.0,1,4,4,choice,1,-1,-1.0,5,5,1,1,-1.0
234,280,w52f1872,Pattern,1.0,2648.0,1,1,5,choice,4,1,3.0,4,4,3,3,2.0
235,281,w52f1872,Sea,1.0,4359.0,1,2,5,choice,2,4,3.0,4,4,1,2,2.0
236,282,w52f1872,Object,1.0,2807.0,0,3,5,choice,3,-1,1.0,4,4,2,3,0.0
237,283,w52f1872,Large,0.0,971.0,0,4,5,choice,1,1,1.0,4,4,1,1,1.0
238,289,w8eb1000,Large,0.0,1636.0,1,2,1,choice,2,-3,-3.0,4,4,1,2,-1.0
239,290,w8eb1000,Animal,1.0,1004.0,1,3,1,choice,3,2,1.0,4,4,2,3,-1.0
240,291,w8eb1000,Solid,1.0,1440.0,1,4,1,choice,4,3,0.0,4,4,2,2,0.0
241,292,w8eb1000,Solid,1.0,6553.0,1,1,2,choice,4,1,2.0,5,5,3,3,0.0
242,293,w8eb1000,Animal,0.0,4865.0,0,2,2,choice,2,1,1.0,5,5,1,1,-1.0
243,294,w8eb1000,Large,0.0,5646.0,0,3,2,choice,3,3,3.0,5,5,2,2,1.0
244,295,w8eb1000,Sea,0.0,2239.0,1,4,2,choice,1,-1,-1.0,5,5,1,1,-1.0
245,296,w8eb1000,Solid,1.0,3806.0,0,1,3,choice,1,-2,-2.0,6,6,1,1,-2.0
246,297,w8eb1000,Sea,1.0,3337.0,1,2,3,choice,4,1,0.0,6,6,4,4,0.0
247,298,w8eb1000,Small,1.0,5836.0,1,3,3,choice,3,2,1.0,6,6,3,3,1.0
248,299,w8eb1000,Object,0.0,3751.0,1,4,3,choice,2,-3,-3.0,6,6,2,2,-3.0
249,300,w8eb1000,Pattern,0.0,4850.0,0,1,4,choice,4,1,-1.0,5,5,3,3,0.0
250,301,w8eb1000,Small,1.0,5192.0,1,2,4,choice,3,3,2.0,5,5,2,2,3.0
251,302,w8eb1000,Land,0.0,6812.0,1,3,4,choice,2,-2,-3.0,5,5,1,1,-2.0
252,303,w8eb1000,Object,0.0,2596.0,1,4,4,choice,1,-1,-2.0,5,5,1,1,-2.0
253,304,w8eb1000,Small,0.0,6750.0,0,1,5,choice,3,3,-2.0,5,5,3,3,-2.0
254,305,w8eb1000,Land,1.0,6079.0,0,2,5,choice,1,-1,-2.0,5,5,1,1,-2.0
255,306,w8eb1000,Pattern,0.0,4742.0,0,3,5,choice,4,1,-1.0,5,5,3,3,-2.0
